# kind	id	asset_name	source_path	focal_x	focal_y
combatant	knight	hero_knight_card	Raw Assets/Heroes/Knight.jpeg	0.50	0.50
combatant	ranger	hero_ranger_card	Raw Assets/Heroes/Ranger.jpeg	0.50	0.50
combatant	rogue	hero_rogue_card	Raw Assets/Heroes/Rogue.jpeg	0.50	0.34
combatant	warlock	hero_warlock_card	Raw Assets/Heroes/Warlock.jpeg	0.50	0.50
combatant	wizard	hero_wizard_card	Raw Assets/Heroes/Wizard.jpeg	0.50	0.50
combatant	wolf	companion_wolf_card	Raw Assets/Companions/Wolf.jpeg	0.50	0.36
combatant	bear	companion_bear_card	Raw Assets/Companions/Bear.jpeg	0.50	0.50
combatant	frost_whelp	companion_frost_whelp_card	Raw Assets/Companions/Frost Whelp.jpeg	0.50	0.50
combatant	lizard_scout	companion_lizard_scout_card	Raw Assets/Companions/Lizard Scout.jpeg	0.50	0.50
combatant	panther	companion_panther_card	Raw Assets/Companions/Panther.jpeg	0.50	0.50
combatant	phoenix	companion_phoenix_card	Raw Assets/Companions/Phoenix.jpeg	0.50	0.50
combatant	golden_retriever	companion_golden_retriever_card	Raw Assets/Companions/Golden Retriever.jpeg	0.50	0.50
combatant	library_owl	companion_library_owl_card	Raw Assets/Companions/Library Owl.jpeg	0.50	0.50
combatant	risen_skeleton	companion_risen_skeleton_card	Raw Assets/Companions/Risen Skeleton.jpeg	0.50	0.50
combatant	mana_moth	companion_mana_moth_card	Raw Assets/Companions/Mana Moth.jpeg	0.50	0.50
combatant	fox	companion_fox_card	Raw Assets/Companions/Fox.jpeg	0.50	0.36
ability	acid-potion	ability_acid_potion	Raw Assets/Abilities/Acid Potion.jpeg	0.50	0.50
ability	apple	ability_apple	Raw Assets/Abilities/Apple.jpeg	0.50	0.50
ability	astral-arrow	ability_astral_arrow	Raw Assets/Abilities/Astral Arrow.jpeg	0.50	0.50
ability	avatar-of-justice	ability_avatar_of_justice	Raw Assets/Abilities/Avatar.jpeg	0.50	0.50
ability	bash	ability_bash	Raw Assets/Abilities/Bash.jpeg	0.50	0.50
ability	blackjack	ability_blackjack	Raw Assets/Abilities/Blackjack.jpeg	0.50	0.50
ability	blessed-aegis	ability_blessed_aegis	Raw Assets/Abilities/Blessed Aegis.jpeg	0.50	0.50
ability	blizzard	ability_blizzard	Raw Assets/Abilities/Blizzard.jpeg	0.50	0.50
ability	block	ability_block	Raw Assets/Abilities/Block.jpeg	0.50	0.50
ability	blood-offering	ability_blood_offering	Raw Assets/Abilities/Blood Offering.jpeg	0.50	0.50
ability	bloodthorn	ability_bloodthorn	Raw Assets/Abilities/Bloodthorn.jpeg	0.50	0.50
ability	bounty-shot	ability_bounty_shot	Raw Assets/Abilities/Bounty Shot.jpeg	0.50	0.50
ability	briar-shield	ability_briar_shield	Raw Assets/Abilities/Briar Shield.jpeg	0.50	0.50
ability	caustic-jab	ability_caustic_jab	Raw Assets/Abilities/Caustic Jab.jpeg	0.50	0.50
ability	cinderbloom	ability_cinderbloom	Raw Assets/Abilities/Cinderbloom.jpeg	0.50	0.50
ability	cleanse	ability_cleanse	Raw Assets/Abilities/Cleanse.jpeg	0.50	0.50
ability	cold-snap	ability_cold_snap	Raw Assets/Abilities/Cold Snap.jpeg	0.50	0.50
ability	combustion	ability_combustion	Raw Assets/Abilities/Combustion.jpeg	0.50	0.50
ability	dark-pact	ability_dark_pact	Raw Assets/Abilities/Dark Pact.jpeg	0.50	0.50
ability	earthquake	ability_earthquake	Raw Assets/Abilities/Earthquake.jpeg	0.50	0.50
ability	fangs	ability_fangs	Raw Assets/Abilities/Fangs.jpeg	0.50	0.50
ability	faustian-bargain	ability_faustian_bargain	Raw Assets/Abilities/Faustian Bargain.jpeg	0.50	0.50
ability	fire-arrow	ability_fire_arrow	Raw Assets/Abilities/Fire Arrow.jpeg	0.50	0.50
ability	fireball	ability_fireball	Raw Assets/Abilities/Fireball.jpeg	0.50	0.50
ability	frostbolt	ability_frostbolt	Raw Assets/Abilities/Frostbolt.jpeg	0.50	0.50
ability	glacial-ward	ability_glacial_ward	Raw Assets/Abilities/Glacial Ward.jpeg	0.50	0.50
ability	golden-plate	ability_golden_plate	Raw Assets/Abilities/Golden Plate.jpeg	0.50	0.50
ability	heal	ability_heal	Raw Assets/Abilities/Heal.jpeg	0.50	0.50
ability	hemorrhage	ability_hemorrhage	Raw Assets/Abilities/Hemorrhage.jpeg	0.50	0.50
ability	ice-shot	ability_ice_shot	Raw Assets/Abilities/Ice Shot.jpeg	0.50	0.50
ability	kindling	ability_kindling	Raw Assets/Abilities/Kindling.jpeg	0.50	0.50
ability	luck-potion	ability_luck_potion	Raw Assets/Abilities/Luck Potion.jpeg	0.50	0.50
ability	mana-berries	ability_mana_berries	Raw Assets/Abilities/Mana Berries.jpeg	0.50	0.50
ability	mana-potion	ability_mana_potion	Raw Assets/Abilities/Mana Potion.jpeg	0.50	0.50
ability	mana-shield	ability_mana_shield	Raw Assets/Abilities/Mana Shield.jpeg	0.50	0.50
ability	maul	ability_maul	Raw Assets/Abilities/Maul.jpeg	0.50	0.50
ability	meteor	ability_meteor	Raw Assets/Abilities/Meteor.jpeg	0.50	0.50
ability	molten-bulwark	ability_molten_bulwark	Raw Assets/Abilities/Molten Bulwark.jpeg	0.50	0.50
ability	pack-tactics	ability_pack_tactics	Raw Assets/Abilities/Pack Tactics.jpeg	0.50	0.50
ability	panacea-potion	ability_panacea_potion	Raw Assets/Abilities/Panacea Potion.jpeg	0.50	0.50
ability	phoenix-feather	ability_phoenix_feather	Raw Assets/Abilities/Phoenix Feather.jpeg	0.50	0.50
ability	pixie-dust	ability_pixie_dust	Raw Assets/Abilities/Pixie Dust.jpeg	0.50	0.50
ability	poison-dagger	ability_poison_dagger	Raw Assets/Abilities/Poison Dagger.jpeg	0.50	0.50
ability	pounce	ability_pounce	Raw Assets/Abilities/Pounce.jpeg	0.50	0.50
ability	predators-focus	ability_predators_focus	Raw Assets/Abilities/Predator's Focus.jpeg	0.50	0.50
ability	ray-of-frost	ability_ray_of_frost	Raw Assets/Abilities/Ray of Frost.jpeg	0.50	0.50
ability	rending-slash	ability_rending_slash	Raw Assets/Abilities/Rend.jpeg	0.50	0.50
ability	sap-arrow	ability_sap_arrow	Raw Assets/Abilities/Sap Arrow.jpeg	0.50	0.50
ability	serrated-edge	ability_serrated_edge	Raw Assets/Abilities/Serrated Edge.jpeg	0.50	0.50
ability	shadowstep	ability_shadowstep	Raw Assets/Abilities/Shadowstep.jpeg	0.50	0.50
ability	shield-bash	ability_shield_bash	Raw Assets/Abilities/Shield Bash.jpeg	0.50	0.50
ability	slash	ability_slash	Raw Assets/Abilities/Slash.jpeg	0.50	0.50
ability	smite	ability_smite	Raw Assets/Abilities/Smite.jpeg	0.50	0.50
ability	sniff-out	ability_sniff_out	Raw Assets/Abilities/Sniff Out.jpeg	0.50	0.50
ability	spiked-shield	ability_spiked_shield	Raw Assets/Abilities/Spiked Shield.jpeg	0.50	0.50
ability	stab	ability_stab	Raw Assets/Abilities/Stab.jpeg	0.50	0.50
ability	stargaze	ability_stargaze	Raw Assets/Abilities/Stargaze.jpeg	0.50	0.50
ability	steal	ability_steal	Raw Assets/Abilities/Steal.jpeg	0.50	0.50
ability	stoneskin-potion	ability_stoneskin_potion	Raw Assets/Abilities/Stoneskin Potion.jpeg	0.50	0.50
ability	sunburst	ability_sunburst	Raw Assets/Abilities/Sunburst.jpeg	0.50	0.50
ability	sunder	ability_sunder_armor	Raw Assets/Abilities/Sunder.jpeg	0.50	0.50
ability	thorn-mail	ability_thorn_mail	Raw Assets/Abilities/Thorn Mail.jpeg	0.50	0.50
ability	tithe	ability_tithe	Raw Assets/Abilities/Tithe.jpeg	0.50	0.50
ability	venom-arrow	ability_venom_arrow	Raw Assets/Abilities/Venom Arrow.jpeg	0.50	0.50
ability	venom-fangs	ability_venom_fangs	Raw Assets/Abilities/Venom Fangs.jpeg	0.50	0.50
item	crossbow-astral	item_crossbow_astral	Raw Assets/Gear/Crossbow - Astral.jpeg	0.50	0.50
item	crossbow-basic	item_crossbow_basic	Raw Assets/Gear/Crossbow - Basic.jpeg	0.50	0.50
item	dagger-astral	item_dagger_astral	Raw Assets/Gear/Dagger - Astral.jpeg	0.50	0.50
item	dagger-basic	item_dagger_basic	Raw Assets/Gear/Dagger - Basic.jpeg	0.50	0.50
item	double_axe-astral	item_double_axe_astral	Raw Assets/Gear/Double Axe - Astral.jpeg	0.50	0.50
item	double_axe-basic	item_double_axe_basic	Raw Assets/Gear/Double Axe - Basic.jpeg	0.50	0.50
item	emerald_amulet-astral	item_emerald_amulet_astral	Raw Assets/Gear/Emerald Amulet - Astral.jpeg	0.50	0.50
item	emerald_amulet-basic	item_emerald_amulet_basic	Raw Assets/Gear/Emerald Amulet - Basic.jpeg	0.50	0.50
item	emerald_ring-astral	item_emerald_ring_astral	Raw Assets/Gear/Emerald Ring - Astral.jpeg	0.50	0.50
item	emerald_ring-basic	item_emerald_ring_basic	Raw Assets/Gear/Emerald Ring - Basic.jpeg	0.50	0.50
item	flail-astral	item_flail_astral	Raw Assets/Gear/Flail - Astral.jpeg	0.50	0.50
item	flail-basic	item_flail_basic	Raw Assets/Gear/Flail - Basic.jpeg	0.50	0.50
item	greatsword-astral	item_greatsword_astral	Raw Assets/Gear/Greatsword - Astral.jpeg	0.50	0.50
item	greatsword-basic	item_greatsword_basic	Raw Assets/Gear/Greatsword - Basic.jpeg	0.50	0.50
item	hatchet-astral	item_hatchet_astral	Raw Assets/Gear/Hatchet - Astral.jpeg	0.50	0.50
item	hatchet-basic	item_hatchet_basic	Raw Assets/Gear/Hatchet - Basic.jpeg	0.50	0.50
item	kite_shield-astral	item_kite_shield_astral	Raw Assets/Gear/Kite Shield - Astral.jpeg	0.50	0.50
item	kite_shield-basic	item_kite_shield_basic	Raw Assets/Gear/Kite Shield - Basic.jpeg	0.50	0.50
item	leather_armor-astral	item_leather_armor_astral	Raw Assets/Gear/Leather Armor - Astral.jpeg	0.50	0.50
item	leather_armor-basic	item_leather_armor_basic	Raw Assets/Gear/Leather Armor - Basic.jpeg	0.50	0.50
item	longbow-astral	item_longbow_astral	Raw Assets/Gear/Longbow - Astral.jpeg	0.50	0.50
item	longbow-basic	item_longbow_basic	Raw Assets/Gear/Longbow - Basic.jpeg	0.50	0.50
item	longsword-astral	item_longsword_astral	Raw Assets/Gear/Longsword - Astral.jpeg	0.50	0.50
item	longsword-basic	item_longsword_basic	Raw Assets/Gear/Longsword - Basic.jpeg	0.50	0.50
item	mace-astral	item_mace_astral	Raw Assets/Gear/Mace - Astral.jpeg	0.50	0.50
item	mace-basic	item_mace_basic	Raw Assets/Gear/Mace - Basic.jpeg	0.50	0.50
item	maul-astral	item_maul_astral	Raw Assets/Gear/Maul - Astral.jpeg	0.50	0.50
item	maul-basic	item_maul_basic	Raw Assets/Gear/Maul - Basic.jpeg	0.50	0.50
item	plate_armor-astral	item_plate_armor_astral	Raw Assets/Gear/Plate Armor - Astral.jpeg	0.50	0.50
item	plate_armor-basic	item_plate_armor_basic	Raw Assets/Gear/Plate Armor - Basic.jpeg	0.50	0.50
item	recurve_bow-astral	item_recurve_bow_astral	Raw Assets/Gear/Recurve Bow - Astral.jpeg	0.50	0.50
